run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,510.10,0.31,163,250880
2,499.85,0.31,158,250880
3,507.02,0.32,159,250880
4,508.39,0.31,160,250880
5,514.48,0.32,156,250880
6,508.19,0.31,159,250880
7,511.61,0.32,156,250880
8,522.10,0.29,162,250880
9,515.45,0.31,163,250880
10,497.94,0.31,159,250880
