run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,124.18,0.09,124,66096
2,122.13,0.10,125,66096
3,131.90,0.09,142,66096
4,132.01,0.10,124,66092
5,123.39,0.08,144,66096
6,123.08,0.08,144,64000
7,123.84,0.09,125,66096
8,122.61,0.08,142,66096
9,121.77,0.08,144,66096
10,121.83,0.09,124,66256
