run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,1417.11,0.96,146,751652
2,1421.30,0.96,146,750560
3,1375.41,0.99,140,751816
4,1410.83,0.99,138,750560
5,1356.27,0.95,146,750400
6,1385.18,0.96,146,751656
7,1419.25,0.96,145,751820
8,1434.33,0.97,145,751816
9,1426.17,0.96,145,750560
10,1424.24,0.97,145,751656
