run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,117.65,0.09,124,66096
2,120.59,0.10,109,64160
3,118.17,0.09,123,66096
4,117.75,0.09,124,64000
5,118.76,0.10,109,66256
6,118.38,0.09,123,66096
7,117.93,0.09,123,66096
8,118.09,0.10,110,66256
9,118.01,0.09,124,66096
10,119.21,0.09,124,66092
