run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,501.15,0.30,161,250880
2,481.42,0.29,162,250880
3,481.08,0.28,164,250880
4,482.79,0.29,163,250880
5,484.23,0.29,162,250880
6,486.31,0.29,163,250880
7,480.56,0.29,163,250880
8,477.28,0.29,164,250880
9,483.14,2.15,23,250880
10,487.95,0.28,164,250880
