run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,1437.96,0.84,166,751656
2,1421.11,0.84,166,751656
3,1423.89,1.01,153,750560
4,1428.88,0.84,166,750560
5,1429.44,0.86,164,750560
6,1419.03,0.86,165,751656
7,1412.27,0.84,166,750560
8,1420.12,0.85,165,750560
9,1423.85,0.84,166,750560
10,1428.88,0.84,166,751652
