run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,875.30,18.89,4,249920
2,817.47,0.46,177,249920
3,837.35,0.46,177,249920
4,835.92,0.45,182,249920
5,830.92,0.47,176,249760
6,815.17,0.44,180,249920
7,836.79,0.47,177,249920
8,819.27,0.44,180,249920
9,834.05,0.47,176,249920
10,812.47,1.83,43,249920
