run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,217.40,0.12,165,65836
2,214.00,0.13,163,63680
3,207.79,0.12,169,65836
4,206.67,0.12,170,65832
5,208.05,0.12,166,65836
6,215.16,0.12,167,65836
7,217.49,0.11,171,63680
8,206.25,0.12,171,65836
9,206.62,0.12,170,65836
10,216.13,0.12,166,65832
