run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,2440.46,1.95,123,747548
2,2392.99,1.95,122,747548
3,2510.04,1.99,121,747548
4,2453.76,1.99,123,747616
5,2456.76,1.96,123,747548
6,2452.41,1.91,122,747548
7,2598.53,14.52,17,747548
8,2449.72,1.96,124,747544
9,2448.96,1.97,124,747548
10,2413.96,2.98,82,747548
