run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,4409.89,4.03,109,1493176
2,4354.81,15.64,27,1493140
3,4375.78,2.80,156,1493140
4,4386.25,2.87,151,1493144
5,4285.59,2.78,156,1493148
6,4432.10,21.12,20,1493176
7,4421.58,2.76,157,1493300
8,4387.81,2.85,154,1493136
9,4457.09,2.81,156,1493300
10,4376.97,2.84,151,1493456
