run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,2321.55,2.31,99,747548
2,2330.89,13.10,17,747548
3,2321.15,2.42,99,747544
4,2399.40,2.40,99,747548
5,2493.30,26.07,9,747548
6,2428.33,21.49,11,747548
7,2406.28,2.35,99,747548
8,2389.47,2.65,93,747548
9,2433.78,2.41,99,747548
10,2517.40,2.38,99,747548
