run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,399.78,0.32,122,125920
2,401.68,0.32,123,125920
3,404.96,0.34,122,125920
4,428.41,0.33,123,125920
5,434.71,0.34,121,125920
6,415.98,0.32,123,125920
7,396.02,0.35,122,125920
8,423.10,0.32,122,125920
9,396.75,0.32,122,127924
10,435.82,0.35,122,125920
