run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,4813.18,4.83,99,1493536
2,4791.83,4.78,99,1493536
3,4719.13,5.83,82,1493536
4,4724.42,48.14,45,1493536
5,4827.61,4.89,99,1493536
6,4915.05,4.84,99,1493536
7,4993.95,15.49,31,1493536
8,4928.13,4.81,99,1493532
9,4985.82,17.24,26,1493536
10,4673.36,20.51,23,1493536
