run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,10636.83,4.78,506,54068
2,11003.62,2.44,443,55940
3,11409.65,2.72,407,54704
4,10874.37,2.52,442,55072
5,10816.32,2.11,504,57532
6,10843.95,1.94,546,54184
7,11019.97,2.15,564,56292
8,16653.13,2.16,489,54556
9,10795.38,3.14,354,56960
10,10807.61,3.07,402,56224
