run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,9782.89,2.59,339,54880
2,8859.90,3.61,309,56696
3,11990.53,2.06,403,54532
4,8587.56,1.96,417,54880
5,8820.35,2.50,390,58900
6,8495.78,3.42,253,58476
7,8450.32,1.83,453,58112
8,8394.78,7.70,126,56260
9,8964.02,2.69,328,58788
10,11014.58,2.95,295,56072
