run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,4225.77,2.60,161,59856
2,4976.57,1.75,234,60252
3,4969.00,2.58,164,60236
4,9535.33,2.76,198,62152
5,4955.12,2.44,194,60292
6,4152.80,2.69,157,60000
7,4510.34,2.03,208,60112
8,4653.16,1.80,228,60332
9,4201.51,2.64,162,59736
10,4412.06,1.76,234,59936
