run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,27130.48,4.54,593,126724
2,27541.51,4.26,628,125844
3,27753.44,11.24,272,126588
4,27475.35,5.77,463,128136
5,27108.41,5.42,494,126084
6,26816.38,5.39,565,127816
7,27117.34,4.10,635,127544
8,47988.43,5.82,457,126288
9,27041.24,4.82,544,128440
10,28130.43,4.11,628,128564
