run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,11480.01,6.99,159,420624
2,11491.27,7.38,153,420292
3,10902.11,6.10,179,420844
4,11226.00,4.62,229,420608
5,11560.60,6.49,178,422244
6,11319.00,5.11,210,420300
7,10902.67,5.71,186,420432
8,10834.99,14.44,78,420344
9,10952.16,4.68,228,420528
10,10989.50,5.22,205,420404
