run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,6563.86,6.35,101,756032
2,6461.54,4.61,137,756300
3,6368.31,4.86,129,756188
4,6473.83,4.36,141,756236
5,6316.67,6.37,100,756092
6,6385.92,4.30,144,756072
7,6466.74,4.57,139,756432
8,6309.67,6.33,102,756176
9,6905.85,10.53,102,756248
10,6384.42,4.70,135,756104
