run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,1060.35,1.94,53,49280
2,995.86,4.42,24,49244
3,963.46,2.52,38,49260
4,969.91,1.56,60,49324
5,971.24,1.57,62,49356
6,988.17,1.59,60,49228
7,985.10,1.62,59,49472
8,965.68,1.84,56,49220
9,963.48,1.79,54,49252
10,967.49,2.09,46,49236
