run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,1543.16,2.46,57,266252
2,1411.70,2.46,56,264048
3,1437.25,2.51,56,264200
4,1460.96,2.52,57,264052
5,1473.97,2.51,58,264044
6,1466.52,2.69,53,264200
7,1476.02,2.52,58,264052
8,1475.37,2.67,54,264204
9,1477.24,3.20,46,264204
10,1407.48,2.57,54,264196
