run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,12976.27,2.22,569,66940
2,12901.81,2.26,555,65228
3,12686.79,2.87,449,65396
4,19150.17,2.43,520,64644
5,12413.76,2.38,520,64336
6,12852.04,2.41,539,66796
7,12910.76,4.35,299,67328
8,13323.48,2.19,564,65096
9,12806.05,3.02,413,65124
10,12765.03,3.63,352,65024
