run,task_clock_ms,wall_s,cpu_pct,max_rss_kb
1,739.82,2.06,36,79752
2,732.95,3.54,20,79552
3,730.04,1.78,40,79572
4,760.57,1.78,41,79724
5,754.01,1.99,36,79728
6,741.88,1.78,41,79724
7,754.40,2.40,31,79708
8,726.24,1.78,41,79728
9,749.01,1.94,38,79572
10,754.65,2.57,29,79568
